,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,보행자도로개수,초중고,관광명소개수,지하철개수,호텔개수,대학교개수,총합
238,창신1동,종로구,,1,,,,1,,,3,,246
239,창신2동,종로구,,1,,,,,,,,,243
240,천호1동,강동구,,2,,,,4,,1,,,250
241,천호2동,강동구,,2,1,,,2,,,1,,250
242,천호3동,강동구,,1,,,,1,,,,,247
243,청구동,중구,,1,,,,4,,,,,251
244,청담동,강남구,,5,,,,3,,,5,,260
245,청운효자동,종로구,,9,,,,7,4,,,1,269
246,청파동,용산구,,13,,,,7,,,,1,270
247,충현동,서대문구,,1,,,,7,,2,1,2,263
248,평창동,종로구,,7,,,,1,,,1,,260
249,필동,중구,,11,,,,3,1,1,6,1,275
250,한강로동,용산구,,10,,,,4,,4,,,271
251,한남동,용산구,,27,,,,1,2,2,2,,288
252,합정동,마포구,,2,1,,,1,1,1,1,,262
253,행당1동,성동구,,5,,,,1,,1,,,263
254,화곡6동,강서구,,2,,,,2,,,4,2,267
255,화양동,광진구,,2,,,,3,,1,,1,265
256,황학동,중구,,1,,,2,,,,,,262
257,회기동,동대문구,,1,,,,5,,,,1,267
258,회현동,중구,,3,,,8,,3,3,5,,283
259,효창동,용산구,,6,,1,,1,,1,,,271
260,후암동,용산구,,5,,,,2,,,,,270
261,망원1동,마포구,,,2,1,,,1,,,,268
262,반포3동,서초구,,,20,1,,1,,,,,287
263,반포본동,서초구,,,2,,,3,,1,,,272
264,성수2가1동,성동구,,,3,,,3,1,,,,274
265,양평2동,영등포구,,,1,,2,5,,1,,,277
266,자양2동,광진구,,,12,,,7,,1,,,289
267,잠실4동,송파구,,,2,,,3,,1,,,276
268,풍납1동,송파구,,,1,,,2,,,,,274
269,사당2동,동작구,,,,1,,3,,2,,,278
270,상계1동,노원구,,,,1,,4,2,1,,,281
271,신월3동,양천구,,,,1,,7,1,,,,283
272,갈현1동,은평구,,,,,8,,1,1,,,285
273,갈현2동,은평구,,,,,16,10,,1,,,303
274,구의1동,광진구,,,,,8,2,,,,,287
275,대림2동,영등포구,,,,,3,2,,,,,283
276,도림동,영등포구,,,,,1,,,,,,280
277,문정2동,송파구,,,,,2,1,1,3,,,287
278,상계5동,노원구,,,,,1,1,,1,,,284
279,상계9동,노원구,,,,,1,5,,1,,,289
280,상도1동,동작구,,,,,2,3,1,2,,1,292
281,성현동,관악구,,,,,1,2,,,,,287
282,신길3동,영등포구,,,,,5,1,,,,,291
283,신대방1동,동작구,,,,,2,2,,,,,290
284,신월5동,양천구,,,,,4,3,,,1,,295
285,신정4동,양천구,,,,,2,3,,1,,,294
286,인헌동,관악구,,,,,2,2,,,,,293
287,조원동,관악구,,,,,2,1,,,,,293
288,청림동,관악구,,,,,1,,,,,,292
289,행운동,관악구,,,,,2,5,,2,,,301
290,가락2동,송파구,,,,,,3,,2,,,300
291,가락본동,송파구,,,,,,4,,,2,,302
292,가리봉동,구로구,,,,,,1,,,,,298
293,가양3동,강서구,,,,,,4,,,,,302
294,개포1동,강남구,,,,,,2,,,,,301
295,고덕1동,강동구,,,,,,5,,,,,305
296,고척1동,구로구,,,,,,5,,,,1,307
297,공덕동,마포구,,,,,,2,1,1,,,306
298,공항동,강서구,,,,,,4,,2,1,,310
299,구로1동,구로구,,,,,,2,,1,,,307
300,금호2.3가동,성동구,,,,,,1,,,,,306
301,길음1동,성북구,,,,,,4,,1,,,311
302,난곡동,관악구,,,,,,3,,,,,310
303,남가좌2동,서대문구,,,,,,2,,,,1,311
304,답십리1동,동대문구,,,,,,3,,,,,312
305,도봉1동,도봉구,,,,,,5,1,,,,317
306,도화동,마포구,,,,,,1,,1,1,,315
307,독산2동,금천구,,,,,,2,,,,,315
308,동선동,성북구,,,,,,6,,,2,,322
309,둔촌1동,강동구,,,,,,2,,,,,317
310,마천1동,송파구,,,,,,1,,1,,,318
311,망우3동,중랑구,,,,,,4,,,,,321
312,망원2동,마포구,,,,,,1,,,,,319
313,면목2동,중랑구,,,,,,2,,,,,321
314,면목3.8동,중랑구,,,,,,4,,1,,1,326
315,명일1동,강동구,,,,,,1,,1,,,323
316,명일2동,강동구,,,,,,3,,1,,,326
317,목3동,양천구,,,,,,1,,1,,,325
318,목4동,양천구,,,,,,3,,,,,327
319,무악동,종로구,,,,,,1,1,1,,,328
320,묵2동,중랑구,,,,,,2,,,,,328
321,문정1동,송파구,,,,,,2,,,,,329
322,미아동,강북구,,,,,,3,,1,,2,335
323,방배4동,서초구,,,,,,2,,,,,333
324,방이1동,송파구,,,,,,3,,1,,,336
325,방학1동,도봉구,,,,,,3,,1,,,337
326,방학2동,도봉구,,,,,,2,,,,,336
327,방학3동,도봉구,,,,,,3,1,,,,339
328,방화1동,강서구,,,,,,5,,1,,,342
329,방화2동,강서구,,,,,,3,,3,1,,344
330,번1동,강북구,,,,,,2,,1,1,,342
331,보라매동,관악구,,,,,,3,,,,,343
332,보문동,성북구,,,,,,2,,1,1,,345
333,북가좌1동,서대문구,,,,,,3,1,,,,346
334,북아현동,서대문구,,,,,,3,,,,,346
335,사당1동,동작구,,,,,,2,,,1,,347
336,삼각산동,강북구,,,,,,3,,,,,348
337,삼선동,성북구,,,,,,5,,2,,1,354
338,삼성동,관악구,,,,,,5,,,,,352
339,삼전동,송파구,,,,,,3,,,,,351
340,상계3.4동,노원구,,,,,,2,,1,,,353
341,상계8동,노원구,,,,,,4,,,,,355
342,상도3동,동작구,,,,,,1,,,,,353
343,서림동,관악구,,,,,,1,,,,,354
344,석촌동,송파구,,,,,,9,1,1,2,,367
345,성산1동,마포구,,,,,,5,,,1,,361
346,성수2가3동,성동구,,,,,,1,,1,1,,359
347,송파1동,송파구,,,,,,1,,,,,358
348,시흥2동,금천구,,,,,,6,,,,,364
349,신길1동,영등포구,,,,,,2,,1,,,362
350,신길4동,영등포구,,,,,,1,,,,,361
351,신길6동,영등포구,,,,,,1,,1,,,363
352,신길7동,영등포구,,,,,,1,,1,,,364
353,신내1동,중랑구,,,,,,2,,,,,365
354,신당5동,중구,,,,,,3,,,,,367
355,신대방2동,동작구,,,,,,4,1,,,,370
356,신수동,마포구,,,,,,4,,,,,371
357,신원동,관악구,,,,,,1,,,,,369
358,신월2동,양천구,,,,,,4,,,,,373
359,신월4동,양천구,,,,,,1,,,,,371
360,신월6동,양천구,,,,,,2,,,,,373
361,신정1동,양천구,,,,,,3,,,,,375
362,신정2동,양천구,,,,,,3,,,,,376
363,쌍문2동,도봉구,,,,,,2,,,,,376
364,쌍문3동,도봉구,,,,,,1,,1,1,,378
365,암사3동,강동구,,,,,,2,,,,,378
366,양평1동,영등포구,,,,,,2,,1,4,,384
367,연남동,마포구,,,,,,3,,,,,381
368,염리동,마포구,,,,,,5,,,,,385
369,영등포동,영등포구,,,,,,1,1,1,5,,390
370,옥수동,성동구,,,,,,4,,1,,,388
371,왕십리2동,성동구,,,,,,1,,1,,,386
372,왕십리도선동,성동구,,,,,,2,,,3,,390
373,월계3동,노원구,,,,,,4,,,,,390
374,위례동,송파구,,,,,,2,,,,,389
375,은천동,관악구,,,,,,2,,1,,,391
376,응봉동,성동구,,,,,,2,,1,,,392
377,응암2동,은평구,,,,,,1,,,,,391
378,일원1동,강남구,,,,,,3,,,,,394
379,잠실7동,송파구,,,,,,4,,1,,,397
380,장안2동,동대문구,,,,,,3,,,2,,398
381,장위1동,성북구,,,,,,2,,,,,396
382,장위2동,성북구,,,,,,1,,1,,,397
383,장위3동,성북구,,,,,,3,,,,,399
384,정릉2동,성북구,,,,,,2,,,,,399
385,정릉4동,성북구,,,,,,2,,1,,1,402
386,중앙동,관악구,,,,,,1,,,,,400
387,중화1동,중랑구,,,,,,5,,1,,,406
388,창2동,도봉구,,,,,,1,,,,,402
389,창3동,도봉구,,,,,,2,,,,,404
390,창신3동,종로구,,,,,,2,,1,,,406
391,청룡동,관악구,,,,,,9,,,,,414
392,풍납2동,송파구,,,,,,6,,,,,413
393,하계1동,노원구,,,,,,8,,1,,1,419
394,하계2동,노원구,,,,,,3,,,,,413
395,행당2동,성동구,,,,,,3,,1,,,415
396,홍은1동,서대문구,,,,,,1,,,,,413
397,홍제1동,서대문구,,,,,,2,,,,1,416
398,홍제3동,서대문구,,,,,,3,,1,,,418
399,화곡1동,강서구,,,,,,3,,2,7,,427
400,화곡2동,강서구,,,,,,1,,,,,417
401,화곡4동,강서구,,,,,,4,,,,,421
402,휘경2동,동대문구,,,,,,7,,,,1,427
403,방배1동,서초구,,,,,,,,1,,,425
404,사당4동,동작구,,,,,,,,1,,,427
405,성내2동,강동구,,,,,,,,2,1,,430
406,성수1가2동,성동구,,,,,,,,1,,,429
407,수유2동,강북구,,,,,,,,1,1,,431
408,신포동,중구,,,,,,,,1,,,431
409,영종동,중구,,,,,,,,1,,,435
410,운서동,중구,,,,,,,,1,,,438
411,중화2동,중랑구,,,,,,,,1,,,441
412,홍제2동,서대문구,,,,,,,,1,,,442
413,휘경1동,동대문구,,,,,,,,1,1,,444
