,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,관광명소개수,초중고,관광명소개수,대학교개수,지하철개수,호텔개수,총합
303,공항동,강서구,,,,,,4,,,2,1,7
304,구로1동,구로구,,,,,,2,,,1,,3
305,금호2.3가동,성동구,,,,,,1,,,,,1
306,길음1동,성북구,,,,,,4,,,1,,5
307,난곡동,관악구,,,,,,3,,,,,3
308,남가좌2동,서대문구,,,,,,2,,1,,,3
309,답십리1동,동대문구,,,,,,3,,,,,3
311,도봉1동,도봉구,,,,,,5,1,,,,6
312,도화동,마포구,,,,,,1,,,1,1,3
313,독산2동,금천구,,,,,,2,,,,,2
314,동선동,성북구,,,,,,6,,,,2,8
315,둔촌1동,강동구,,,,,,2,,,,,2
316,마천1동,송파구,,,,,,1,,,1,,2
317,망우3동,중랑구,,,,,,4,,,,,4
318,망원2동,마포구,,,,,,1,,,,,1
319,면목2동,중랑구,,,,,,2,,,,,2
320,면목3.8동,중랑구,,,,,,4,,1,1,,6
321,명일1동,강동구,,,,,,1,,,1,,2
322,명일2동,강동구,,,,,,3,,,1,,4
323,목3동,양천구,,,,,,1,,,1,,2
324,목4동,양천구,,,,,,3,,,,,3
325,무악동,종로구,,,,,,1,1,,1,,3
326,묵2동,중랑구,,,,,,2,,,,,2
327,문정1동,송파구,,,,,,2,,,,,2
329,미아동,강북구,,,,,,3,,2,1,,6
331,방배4동,서초구,,,,,,2,,,,,2
332,방이1동,송파구,,,,,,3,,,1,,4
333,방학1동,도봉구,,,,,,3,,,1,,4
334,방학2동,도봉구,,,,,,2,,,,,2
335,방학3동,도봉구,,,,,,3,1,,,,4
336,방화1동,강서구,,,,,,5,,,1,,6
337,방화2동,강서구,,,,,,3,,,3,1,7
338,번1동,강북구,,,,,,2,,,1,1,4
340,보라매동,관악구,,,,,,3,,,,,3
341,보문동,성북구,,,,,,2,,,1,1,4
342,북가좌1동,서대문구,,,,,,3,1,,,,4
343,북아현동,서대문구,,,,,,3,,,,,3
344,사당1동,동작구,,,,,,2,,,,1,3
345,삼각산동,강북구,,,,,,3,,,,,3
346,삼선동,성북구,,,,,,5,,1,2,,8
347,삼성동,관악구,,,,,,5,,,,,5
348,삼전동,송파구,,,,,,3,,,,,3
350,상계3.4동,노원구,,,,,,2,,,1,,3
351,상계8동,노원구,,,,,,4,,,,,4
352,상도3동,동작구,,,,,,1,,,,,1
353,서림동,관악구,,,,,,1,,,,,1
354,석촌동,송파구,,,,,,9,1,,1,2,13
355,성산1동,마포구,,,,,,5,,,,1,6
356,성수2가3동,성동구,,,,,,1,,,1,1,3
357,송파1동,송파구,,,,,,1,,,,,1
358,시흥2동,금천구,,,,,,6,,,,,6
359,신길1동,영등포구,,,,,,2,,,1,,3
360,신길4동,영등포구,,,,,,1,,,,,1
361,신길6동,영등포구,,,,,,1,,,1,,2
362,신길7동,영등포구,,,,,,1,,,1,,2
