,전철역명,X,Y,구
226,대흥,37.547771,126.942069,마포구
227,녹사평,37.534675,126.986695,용산구
228,이태원,37.534488,126.994302,용산구
229,한강진,37.539631,127.001725,용산구
230,버티고개,37.548013,127.007055,중구
231,창신,37.579661,127.015241,종로구
232,안암,37.586272,127.029005,성북구
233,고려대,37.590508,127.036296,동대문구
234,월곡,37.601948,127.041518,성북구
235,상월곡,37.606377,127.048491,성북구
236,돌곶이,37.610537,127.056431,성북구
237,화랑대,37.620064,127.084689,노원구
238,봉화산,37.617283,127.091401,중랑구
239,수락산,37.67785,127.055315,노원구
240,마들,37.66494,127.057675,노원구
241,중계,37.644583,127.064303,노원구
242,하계,37.636352,127.06799,노원구
243,먹골,37.610637,127.077725,중랑구
244,중화,37.602545,127.079264,중랑구
245,면목,37.588579,127.087503,중랑구
246,사가정,37.580894,127.088478,중랑구
247,용마산,37.573647,127.086727,중랑구
248,중곡,37.565923,127.08432,광진구
249,어린이대공원,37.548014,127.074658,광진구
250,뚝섬유원지,37.53154,127.066704,광진구
251,청담,37.519365,127.05335,강남구
252,학동,37.514229,127.031656,강남구
253,논현,37.511093,127.021415,강남구
254,반포,37.508178,127.011727,서초구
255,내방,37.487618,126.993513,서초구
256,남성,37.484596,126.971251,동작구
257,숭실대입구,37.496029,126.953822,동작구
258,장승배기,37.504898,126.93915,동작구
259,신대방삼거리,37.499701,126.928276,동작구
260,보라매,37.499872,126.920428,동작구
261,신풍,37.50008,126.90993,영등포구
262,남구로,37.486056,126.887249,구로구
263,천왕,37.486637,126.838713,구로구
264,암사,37.55021,127.127562,강동구
265,강동구청,37.530341,127.120508,강동구
266,몽촌토성,37.517409,127.112359,송파구
267,석촌,37.505431,127.106979,송파구
268,송파,37.499703,127.112183,송파구
269,문정,37.485855,127.1225,송파구
270,장지,37.478703,127.126191,송파구
271,개화,37.578608,126.798153,강서구
272,공항시장,37.563726,126.810678,강서구
273,신방화,37.567532,126.816601,강서구
274,마곡나루,37.567336,126.829497,강서구
275,양천향교,37.568381,126.841333,강서구
276,가양,37.561391,126.854456,강서구
277,증미,37.557402,126.861939,강서구
278,등촌,37.550632,126.865689,양천구
279,염창,37.546936,126.874916,양천구
280,신목동,37.544277,126.88308,양천구
281,선유도,37.53802,126.893525,영등포구
282,국회의사당,37.528105,126.917874,영등포구
283,샛강,37.517274,126.928422,영등포구
284,노들,37.512887,126.953222,동작구
285,흑석,37.50877,126.963708,동작구
286,구반포,37.501364,126.987332,서초구
287,신반포,37.503415,126.995925,서초구
288,사평,37.504206,127.015259,서초구
289,신논현,37.504598,127.02506,강남구
290,언주,37.507287,127.033868,강남구
291,삼성중앙,37.513011,127.053282,강남구
292,봉은사,37.514219,127.060245,강남구
293,양재시민의숲,37.470023,127.03842,서초구
294,솔밭공원,37.656086,127.013255,강북구
295,삼양,37.627005,127.018156,강북구
296,삼양사거리,37.6214,127.020484,강북구
297,솔샘,37.620305,127.013576,강북구
298,북한산보국문,37.612111,127.008228,성북구
299,정릉,37.602689,127.013474,성북구
