보행자우선도로명,시군구명,보행자우선도로시작점위도,보행자우선도로시작점경도,보행자우선도로종료점위도,보행자우선도로종료점경도,도로폭,우선도로여부
관악로14길,관악구,37.478554,126.955589,37.478235,126.956871,6,0
남부순환로143나길,관악구,37.482696,126.910591,37.482939,126.911926,6,0
남부순환로1602,관악구,37.484025,126.928451,37.483276,126.929685,5,0
낙성대로,관악구,37.477241,126.958451,37.476594,126.958955,4,0
노원문화의거리,노원구,37.655361,127.06225,37.655806,127.06475,12,0
간촌서3길 차없는거리,노원구,37.665556,127.068028,37.667694,127.06475,12,0
우이천길 차없는거리,노원구,37.627667,127.047778,37.624583,127.050222,12,0
당현천 차없는거리,노원구,37.657306,127.072306,37.650194,127.068778,12,0
도림천로,동작구,37.487991,126.913449,37.489215,126.915495,4,0
매봉로4가길,동작구,37.506754,126.954438,37.507173,126.955267,5,0
여의대방로 46길,동작구,37.510031,126.925681,37.509672,126.927086,8,0
노량진근린공원 진입로,동작구,37.508607,126.952543,37.508818,126.953148,3,0
상도근린공원 진입로,동작구,37.493097,126.949381,37.493677,126.947809,4,0
사육신묘 산책로,동작구,37.515111,126.949985,37.513929,126.949587,6,0
상도근린공원 산책로,동작구,34.491157,126.953598,37.492541,126.956246,4,0
연세로,서대문구,37.55566,126.93689,37.5598,126.93694,14,0
서초대로75길,서초구,37.500569,127.025716,37.501585,127.024785,3.5,0
마천로45길,송파구,37.499578,127.152273,37.497097,127.149922,4,0
송파대로27길,송파구,37.490696,127.115512,37.491012,127.115033,5,0
오목로42길(신정4동 1112),양천구,37.524137,126.860426,37.523003,126.860633,6,0
안양천로(목5동 목동교),양천구,37.529787,126.884826,37.530675,126.886798,4,0
안양천로(목5동 이대목동병원),양천구,37.535876,126.887913,37.537547,126.887413,4,0
신정이펜1로 51(이펜하우스 405동~409동),양천구,37.512159,126.829378,37.509759,126.829067,6,0
목동남로 106-23(신정7동 74-15),양천구,37.51043,126.870493,37.509807,126.870013,4,0
월정로 303(수명산롯데캐슬),양천구,37.543879,126.82817,37.545282,126.82847,5,0
화곡로3길 43(수명산동원데자뷰),양천구,37.542644,126.827365,37.543778,126.827698,5,0
신정로(계남근린공원),양천구,37.511892,126.849926,37.513211,126.848971,6,0
용왕정길(용왕산근린공원),양천구,37.541309,126.876624,37.543887,126.878233,6,0
문래로10길,영등포구,37.5193465,126.8869802,37.5201464,126.8871707,8,0
선유로9길,영등포구,37.5176148,126.8854165,37.5163468,126.8851054,8,0
선유서로13길,영등포구,37.519855,126.883488,37.5200443,126.8821415,8,0
가마산로49길,영등포구,37.5052108,126.8982053,37.5037426,126.899938,11,0
디지털로37나길,영등포구,37.4911746,126.8995947,37.4903254,126.8984789,6,0
영등포로22길,영등포구,37.5192572,126.8935919,37.5203208,126.8938279,6,0
선유로43나길,영등포구,37.5307803,126.8919477,37.5324139,126.8918592,6,0
신길로37길,영등포구,37.5068343,126.9105542,37.5061406,126.9109806,5,0
가마산로69길,영등포구,37.5062747,126.9100901,37.5062832,126.9106454,7,0
연서로29길,은평구,37.619311,126.918091,37.618478,126.920074,8,0
진흥로13길,은평구,37.609613,126.924991,37.608788,126.926313,6,0
인사동길,종로구,37.575483,126.983011,37.570988,126.987482,15,0
관철동길,종로구,37.570124,126.985728,37.568524,126.985737,15,0
낙원동길,종로구,37.570305,126.989414,37.572456,126.988674,15,0
대명길,종로구,37.582811,126.999013,37.583728,127.001479,10,0
마로니에길,종로구,37.581719,127.002065,37.58171,127.003334,8,0
감고당길,종로구,37.5758,126.983027,37.579494,126.982179,6,0
대학로8길,종로구,37.580837,127.003763,37.580843,127.002189,6,0
대학로11길,종로구,37.582328,127.00173,37.582769,126.998994,15,0
종로58길,종로구,37.573374,127.017581,37.571209,127.018801,15,0
명동길,중구,37.563651,126.982158,37.563824,126.985064,14,0
명동4길,중구,37.563589,126.983456,37.561442,126.984101,4,0
명동6길,중구,37.563229,126.984124,37.561962,126.984435,4,0
명동7길,중구,37.564941,126.984271,37.563772,126.984473,4,0
명동8길,중구,37.563692,126.984496,37.560858,126.985148,14,0
명동10길,중구,37.561728,126.985827,37.563798,126.985133,5,0
남대문시장길,중구,37.560202,126.977387,37.560453,126.97858,10,0
남대문시장2길,중구,37.559447,126.976559,37.559408,126.977945,8,0
남대문시장4길,중구,37.560791,126.977346,37.557911,126.977197,8,0
남대문시장6길,중구,37.558915,126.976507,37.558881,126.977934,6,0
퇴계로85길,중구,37.56576,127.01967,37.568271,127.01965,13,0
