,지역,학교명,위도,경도,구
759,서울특별시 동대문구,전일중학교,37.5818177,127.05846319999999,동대문구
760,서울특별시 동대문구,정화여자중학교,37.585632000000004,127.040543,동대문구
761,서울특별시 중랑구,중랑중학교,37.60536258,127.0810862,중랑구
762,서울특별시 중랑구,중화중학교,37.584152,127.095225,중랑구
763,서울특별시 동대문구,청량중학교,37.58821749,127.05062420000002,동대문구
764,서울특별시 중랑구,태릉중학교,37.61253281,127.0834362,중랑구
765,서울특별시 중랑구,혜원여자중학교,37.592571,127.096717,중랑구
766,서울특별시 동대문구,휘경여자중학교,37.58233,127.06763799999999,동대문구
767,서울특별시 동대문구,휘경중학교,37.586969,127.06221699999999,동대문구
768,서울특별시 동작구,강남중학교,37.502770700000006,126.9224879,동작구
769,서울특별시 동작구,강현중학교,37.50311409,126.93075459999999,동작구
770,서울특별시 관악구,관악중학교,37.481259,126.96191189999999,관악구
771,서울특별시 관악구,광신중학교,37.465263,126.925053,관악구
772,서울특별시 동작구,국사봉중학교,37.49353083,126.9440571,동작구
773,서울특별시 관악구,난우중학교,37.4,126.9,안양시 만안구
774,서울특별시 관악구,남강중학교,37.471352,126.92470800000001,관악구
775,서울특별시 관악구,남서울중학교,37.4817652,126.92142179999999,관악구
776,서울특별시 동작구,남성중학교,37.479009399999995,126.97241389999999,동작구
777,서울특별시 관악구,당곡중학교,37.49235719,126.9326778,관악구
778,서울특별시 동작구,대방중학교,37.495123,126.91381100000001,동작구
779,서울특별시 동작구,동양중학교,37.51022305,126.957477,동작구
780,서울특별시 동작구,동작중학교,37.49546294,126.9778041,동작구
781,서울특별시 동작구,문창중학교,37.49586121,126.92240670000001,동작구
782,서울특별시 관악구,미성중학교,37.4753631,126.9121554,관악구
783,서울특별시 관악구,봉림중학교,37.480678999999995,126.938197,관악구
784,서울특별시 관악구,봉원중학교,37.48391754,126.9582517,관악구
785,서울특별시 동작구,사당중학교,37.48776263,126.96853909999999,동작구
786,서울특별시 동작구,상도중학교,37.49092127,126.9614773,동작구
787,서울특별시 동작구,상현중학교,37.49407444,126.96039009999998,동작구
788,서울특별시 관악구,서울문영여자중학교,37.473907000000004,126.951521,관악구
789,서울특별시 동작구,성남중학교,37.504442,126.927423,동작구
790,서울특별시 관악구,성보중학교,37.480339,126.921761,관악구
791,서울특별시 관악구,신관중학교,37.481306,126.934288,관악구
792,서울특별시 관악구,삼성중학교,37.46760626,126.94251200000001,관악구
793,서울특별시 관악구,신림중학교,37.4705027,126.9427697,관악구
794,서울특별시 동작구,영등포중학교,37.507427,126.933516,동작구
795,서울특별시 관악구,인헌중학교,37.47260052,126.96883030000001,관악구
796,서울특별시 동작구,장승중학교,37.5031484,126.94083359999999,동작구
797,서울특별시 동작구,중앙대학교사범대학부속중학교,37.50362915,126.9617331,동작구
798,서울특별시 노원구,공릉중학교,37.62222733,127.0836011,노원구
799,서울특별시 노원구,광운중학교,37.621108,127.055807,노원구
800,서울특별시 도봉구,노곡중학교,37.64880215,127.053743,도봉구
801,서울특별시 노원구,노원중학교,37.649085,127.059726,노원구
802,서울특별시 노원구,노일중학교,37.6734085,127.05378950000001,노원구
803,서울특별시 노원구,녹천중학교,37.631806,127.06227920000002,노원구
804,서울특별시 도봉구,도봉중학교,37.67088312,127.04586979999999,도봉구
805,서울특별시 도봉구,방학중학교,37.66544969,127.03086029999999,도봉구
806,서울특별시 도봉구,백운중학교,37.65640601,127.03590630000001,도봉구
807,서울특별시 도봉구,북서울중학교,37.681245000000004,127.04294399999999,도봉구
808,서울특별시 노원구,불암중학교,37.64573538,127.07345670000001,노원구
809,서울특별시 노원구,상경중학교,37.66714976,127.0537063,노원구
810,서울특별시 노원구,상계제일중학교,37.66107434,127.0780777,노원구
811,서울특별시 노원구,상계중학교,37.652221999999995,127.06891499999999,노원구
812,서울특별시 노원구,상명중학교,37.649236,127.067678,노원구
813,서울특별시 노원구,상원중학교,37.6,127.0,성북구
814,서울특별시 도봉구,선덕중학교,37.65507873,127.0261507,도봉구
815,서울특별시 노원구,수락중학교,37.68314343,127.0548107,노원구
816,서울특별시 도봉구,신도봉중학교,37.649203,127.03316399999999,도봉구
817,서울특별시 도봉구,신방학중학교,37.66414196,127.0289012,도봉구
818,서울특별시 노원구,신상중학교,37.6516027,127.0635236,노원구
819,서울특별시 노원구,신창중학교,37.6285579,127.04747959999999,노원구
820,서울특별시 노원구,염광중학교,37.62996,127.050482,노원구
821,서울특별시 노원구,온곡중학교,37.659989,127.06471,노원구
822,서울특별시 노원구,월계중학교,37.63070870000001,127.05242890000001,노원구
823,서울특별시 노원구,재현중학교,37.66128875,127.080798,노원구
824,서울특별시 도봉구,정의여자중학교,37.653428999999996,127.032048,도봉구
825,서울특별시 노원구,중계중학교,37.655414,127.07549099999999,노원구
826,서울특별시 노원구,중원중학교,37.644038,127.068068,노원구
827,서울특별시 노원구,중평중학교,37.63697701,127.06233600000002,노원구
828,서울특별시 도봉구,창동중학교,37.66323074,127.0489978,도봉구
829,서울특별시 도봉구,창북중학교,37.64911433,127.03883540000001,도봉구
830,서울특별시 도봉구,창일중학교,37.64898886,127.0469125,도봉구
831,서울특별시 노원구,청원중학교,37.666608000000004,127.061668,노원구
832,서울특별시 노원구,태랑중학교,37.6269902,127.0912869,노원구
833,서울특별시 노원구,하계중학교,37.640784000000004,127.071573,노원구
834,서울특별시 노원구,한천중학교,37.63131305,127.07244109999999,노원구
835,서울특별시 마포구,경성중학교,37.56350983,126.9191674,마포구
836,서울특별시 마포구,광성중학교,37.548432,126.93690500000001,마포구
837,서울특별시 은평구,구산중학교,37.60976354,126.9097172,은평구
838,서울특별시 은평구,대성중학교,37.622192999999996,126.909558,은평구
839,서울특별시 은평구,덕산중학교,37.60201443,126.9043814,은평구
840,서울특별시 마포구,동도중학교,37.54670213,126.94690530000001,마포구
841,서울특별시 서대문구,동명여자중학교,37.56861668,126.9622523,서대문구
842,서울특별시 서대문구,명지중학교,37.58491179999999,126.9270922,서대문구
843,서울특별시 은평구,불광중학교,37.623323,126.931642,은평구
844,서울특별시 은평구,상신중학교,37.58978421,126.90642609999999,은평구
845,서울특별시 서대문구,서연중학교,37.568327000000004,126.9275,서대문구
846,서울특별시 마포구,서울여자중학교,37.5486,126.948388,마포구
847,서울특별시 은평구,선일여자중학교,37.61971637,126.9127997,은평구
848,서울특별시 은평구,선정중학교,37.618617,126.90799399999999,은평구
849,서울특별시 마포구,성사중학교,37.56808947,126.91268329999998,마포구
850,서울특별시 마포구,성산중학교,37.5,126.9,영등포구
851,서울특별시 마포구,성서중학교,37.56278803,126.90795390000001,마포구
852,서울특별시 마포구,숭문중학교,37.551584999999996,126.945079,마포구
853,서울특별시 은평구,숭실중학교,37.593288,126.905239,은평구
854,서울특별시 마포구,신수중학교,37.54592444,126.9341324,마포구
855,서울특별시 서대문구,신연중학교,37.58271696,126.9398378,서대문구
856,서울특별시 마포구,아현중학교,37.5,126.9,영등포구
857,서울특별시 서대문구,연북중학교,37.57757699,126.9384789,서대문구
858,서울특별시 은평구,연서중학교,37.5872351,126.90962659999998,은평구
859,서울특별시 은평구,연신중학교,37.62354088,126.92428600000001,은평구
860,서울특별시 은평구,연천중학교,37.627527,126.925832,은평구
861,서울특별시 서대문구,연희중학교,37.57958692,126.91879229999999,서대문구
862,서울특별시 은평구,영락중학교,37.59695868,126.92518259999999,은평구
863,서울특별시 은평구,예일여자중학교,37.610436,126.915976,은평구
864,서울특별시 은평구,은평중학교,37.610991,126.90912,은평구
865,서울특별시 서대문구,이화여자대학교사범대학부속이화·금란중학교,37.56312436,126.9443854,서대문구
866,서울특별시 서대문구,인창중학교,37.56488351,126.9640244,서대문구
867,서울특별시 서대문구,정원여자중학교,37.58538041,126.93334140000002,서대문구
868,서울특별시 마포구,중암중학교,37.5724324,126.9035861,마포구
869,서울특별시 서대문구,중앙여자중학교,37.562055,126.95265500000001,서대문구
870,서울특별시 은평구,증산중학교,37.58381485,126.90493909999998,은평구
871,서울특별시 은평구,충암중학교,37.58529776,126.9219653,은평구
872,서울특별시 서대문구,한성중학교,37.559958,126.95528700000001,서대문구
873,서울특별시 서대문구,홍은중학교,37.6,126.9,고양시 덕양구
874,서울특별시 마포구,홍익대학교사범대학부속여자중학교,37.560307,126.91348300000001,마포구
875,서울특별시 광진구,건국대학교사범대학부속중학교,37.54172317,127.0815966,광진구
876,서울특별시 성동구,경수중학교,37.53950922,127.05927209999999,성동구
