행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합,인구수비율,SCORE,랭크
공릉2동,노원구,,0,2,0.000337224,,0,1,0.001041667,,0,10,0.000076805,1,0.001162791,1,0.000135593,,0,2,0.000344828,17,0.003098908,0.004816137,0.00983017,46
성북동,성북구,,0,7,0.001180285,,0,,0,,0,17,0.000130568,3,0.003488372,,0,,0,,0,27,0.004799225,0.001834353,0.009599499,47
상계1동,노원구,,0,,0,,0,1,0.001041667,,0,4,0.000030722,2,0.002325581,1,0.000135593,,0,,0,8,0.003533563,0.003486076,0.009203381,48
능동,광진구,,0,6,0.001011673,,0,2,0.002083333,,0,3,0.000023041,1,0.001162791,2,0.000271186,,0,,0,14,0.004552024,0.001646686,0.009011861,49
부암동,종로구,,0,6,0.001011673,,0,,0,,0,4,0.000030722,3,0.003488372,,0,,0,1,0.000172414,14,0.004703181,0.001256149,0.008865896,50
대치2동,강남구,,0,10,0.001686122,,0,,0,,0,3,0.000023041,,0,3,0.00040678,1,0.00003876,,0,17,0.002154703,0.005121771,0.00860808,51
갈현1동,은평구,,0,,0,,0,,0,8,0.002557078,,0,1,0.001162791,1,0.000135593,,0,,0,10,0.003855462,0.002306679,0.008544817,52
삼청동,종로구,1,0.000422535,15,0.002529183,,0,,0,2,0.000639269,2,0.000015361,1,0.001162791,,0,,0,,0,21,0.004769139,0.000675655,0.008392122,53
가회동,종로구,,0,7,0.001180285,,0,,0,,0,4,0.000030722,3,0.003488372,,0,,0,,0,14,0.004699379,0.000722732,0.008326327,54
상도1동,동작구,,0,,0,,0,,0,2,0.000639269,3,0.000023041,1,0.001162791,2,0.000271186,,0,1,0.000172414,9,0.002268701,0.004522776,0.008193534,55
한강로동,용산구,,0,10,0.001686122,,0,,0,,0,4,0.000030722,,0,4,0.000542373,,0,,0,18,0.002259217,0.004514258,0.008169671,56
노량진1동,동작구,1,0.000422535,1,0.000168612,,0,,0,4,0.001278539,4,0.000030722,,0,2,0.000271186,,0,,0,12,0.002171594,0.004618212,0.008131851,57
양재2동,서초구,,0,1,0.000168612,,0,1,0.001041667,,0,2,0.000015361,1,0.001162791,1,0.000135593,1,0.00003876,,0,7,0.002562784,0.003676856,0.007823441,58
가양1동,강서구,2,0.00084507,2,0.000337224,,0,,0,,0,4,0.000030722,1,0.001162791,3,0.00040678,,0,,0,12,0.002782587,0.003249958,0.007752184,59
장충동,중구,,0,8,0.001348898,,0,1,0.001041667,,0,1,0.00000768,1,0.001162791,1,0.000135593,4,0.000155039,1,0.000172414,17,0.004024082,0.001238106,0.007749071,60
